name,symbol,current_price,market_cap,price_change_percentage_24h,circulating_supply,last_updated
Bitcoin,btc,52594,1038072198655,0.77144,19753256.0,2024-09-12T19:43:25.003Z
Ethereum,eth,2130.3,256340092777,0.53281,120330373.793716,2024-09-12T19:43:26.814Z
BNB,bnb,489.47,71360024504,1.26604,145887575.79,2024-09-12T19:43:24.358Z
Solana,sol,122.35,57214577248,1.96219,467930114.081912,2024-09-12T19:43:28.853Z
Dogecoin,doge,0.092451,13479803993,0.49896,145906986383.705,2024-09-12T19:43:30.124Z
Cardano,ada,0.320986,11442193966,2.33885,35664388341.3215,2024-09-12T19:43:25.738Z
Avalanche,avax,21.59,8741688953,1.72302,405327810.052891,2024-09-12T19:43:33.377Z
Polkadot,dot,3.88,5466468215,2.89124,1411715108.94053,2024-09-12T19:43:31.710Z
Litecoin,ltc,56.99,4266951210,1.43482,74966783.2334713,2024-09-12T19:43:27.169Z
Bitcoin,btc,52594,1038072198655,0.77144,19753256.0,2024-09-12T19:43:25.003Z
Ethereum,eth,2130.3,256340092777,0.53281,120330373.793716,2024-09-12T19:43:26.814Z
BNB,bnb,489.47,71360024504,1.26604,145887575.79,2024-09-12T19:43:24.358Z
Solana,sol,122.35,57214577248,1.96219,467930114.081912,2024-09-12T19:43:28.853Z
Dogecoin,doge,0.092451,13479803993,0.49896,145906986383.705,2024-09-12T19:43:30.124Z
Cardano,ada,0.320986,11442193966,2.33885,35664388341.3215,2024-09-12T19:43:25.738Z
Avalanche,avax,21.59,8741688953,1.72302,405327810.052891,2024-09-12T19:43:33.377Z
Polkadot,dot,3.88,5466468215,2.89124,1411715108.94053,2024-09-12T19:43:31.710Z
Litecoin,ltc,56.99,4266951210,1.43482,74966783.2334713,2024-09-12T19:43:27.169Z
Bitcoin,btc,52594,1038072198655,0.77144,19753256.0,2024-09-12T19:43:25.003Z
Ethereum,eth,2130.3,256340092777,0.53281,120330373.793716,2024-09-12T19:43:26.814Z
BNB,bnb,489.47,71360024504,1.26604,145887575.79,2024-09-12T19:43:24.358Z
Solana,sol,122.35,57214577248,1.96219,467930114.081912,2024-09-12T19:43:28.853Z
Dogecoin,doge,0.092451,13479803993,0.49896,145906986383.705,2024-09-12T19:43:30.124Z
Cardano,ada,0.320986,11442193966,2.33885,35664388341.3215,2024-09-12T19:43:25.738Z
Avalanche,avax,21.59,8741688953,1.72302,405327810.052891,2024-09-12T19:43:33.377Z
Polkadot,dot,3.88,5466468215,2.89124,1411715108.94053,2024-09-12T19:43:31.710Z
Litecoin,ltc,56.99,4266951210,1.43482,74966783.2334713,2024-09-12T19:43:27.169Z
Bitcoin,btc,52594,1038072198655,0.77144,19753256.0,2024-09-12T19:43:25.003Z
Ethereum,eth,2130.3,256340092777,0.53281,120330373.793716,2024-09-12T19:43:26.814Z
BNB,bnb,489.47,71360024504,1.26604,145887575.79,2024-09-12T19:43:24.358Z
Solana,sol,122.35,57214577248,1.96219,467930114.081912,2024-09-12T19:43:28.853Z
Dogecoin,doge,0.092451,13479803993,0.49896,145906986383.705,2024-09-12T19:43:30.124Z
Cardano,ada,0.320986,11442193966,2.33885,35664388341.3215,2024-09-12T19:43:25.738Z
Avalanche,avax,21.59,8741688953,1.72302,405327810.052891,2024-09-12T19:43:33.377Z
Polkadot,dot,3.88,5466468215,2.89124,1411715108.94053,2024-09-12T19:43:31.710Z
Litecoin,ltc,56.99,4266951210,1.43482,74966783.2334713,2024-09-12T19:43:27.169Z
Bitcoin,btc,52689,1040806810924,0.81744,19753271.0,2024-09-12T20:08:46.988Z
Ethereum,eth,2129.18,256363034344,0.02302,120330373.793716,2024-09-12T20:08:48.031Z
BNB,bnb,488.62,71310022592,0.80842,145887575.79,2024-09-12T20:08:45.241Z
Solana,sol,122.46,57314935729,1.54035,467930062.171106,2024-09-12T20:08:53.503Z
Dogecoin,doge,0.09243,13488599820,0.1014,145906986383.705,2024-09-12T20:08:53.387Z
Cardano,ada,0.31962,11399319522,1.14923,35664388341.3215,2024-09-12T20:08:52.632Z
Avalanche,avax,21.52,8728958722,1.12127,405327885.931316,2024-09-12T20:08:44.480Z
Polkadot,dot,3.88,5470882908,2.40673,1411716475.75851,2024-09-12T20:08:50.296Z
Litecoin,ltc,56.88,4264879465,0.86945,74966833.2334713,2024-09-12T20:08:50.083Z
Bitcoin,btc,52689,1040806810924,0.81744,19753271.0,2024-09-12T20:08:46.988Z
Ethereum,eth,2129.18,256363034344,0.02302,120330373.793716,2024-09-12T20:08:48.031Z
BNB,bnb,488.62,71310022592,0.80842,145887575.79,2024-09-12T20:08:45.241Z
Solana,sol,122.46,57314935729,1.54035,467930062.171106,2024-09-12T20:08:53.503Z
Dogecoin,doge,0.09243,13488599820,0.1014,145906986383.705,2024-09-12T20:08:53.387Z
Cardano,ada,0.31962,11399319522,1.14923,35664388341.3215,2024-09-12T20:08:52.632Z
Avalanche,avax,21.52,8728958722,1.12127,405327885.931316,2024-09-12T20:08:44.480Z
Polkadot,dot,3.88,5470882908,2.40673,1411716475.75851,2024-09-12T20:08:50.296Z
Litecoin,ltc,56.88,4264879465,0.86945,74966833.2334713,2024-09-12T20:08:50.083Z
Bitcoin,btc,52689,1040806810924,0.81744,19753271.0,2024-09-12T20:08:46.988Z
Ethereum,eth,2129.18,256363034344,0.02302,120330373.793716,2024-09-12T20:08:48.031Z
BNB,bnb,488.62,71310022592,0.80842,145887575.79,2024-09-12T20:08:45.241Z
Solana,sol,122.46,57314935729,1.54035,467930062.171106,2024-09-12T20:08:53.503Z
Dogecoin,doge,0.09243,13488599820,0.1014,145906986383.705,2024-09-12T20:08:53.387Z
Cardano,ada,0.31962,11399319522,1.14923,35664388341.3215,2024-09-12T20:08:52.632Z
Avalanche,avax,21.52,8728958722,1.12127,405327885.931316,2024-09-12T20:08:44.480Z
Polkadot,dot,3.88,5470882908,2.40673,1411716475.75851,2024-09-12T20:08:50.296Z
Litecoin,ltc,56.88,4264879465,0.86945,74966833.2334713,2024-09-12T20:08:50.083Z
Bitcoin,btc,52583,1038657786324,0.59557,19753271.0,2024-09-12T20:19:14.611Z
Ethereum,eth,2126.19,255852967756,-0.07312,120330373.793716,2024-09-12T20:19:14.330Z
BNB,bnb,487.61,71136100345,0.68648,145887575.79,2024-09-12T20:19:15.267Z
Solana,sol,122.06,57102592549,1.17075,467930062.171106,2024-09-12T20:19:23.219Z
Dogecoin,doge,0.092202,13451090000,-0.25939,145906986383.705,2024-09-12T20:19:13.917Z
Cardano,ada,0.318914,11370725899,0.86892,35664388341.3215,2024-09-12T20:19:12.850Z
Avalanche,avax,21.46,8700336841,0.62965,405327885.931316,2024-09-12T20:19:12.537Z
Polkadot,dot,3.87,5457343704,1.88418,1411716475.67893,2024-09-12T20:19:16.584Z
Litecoin,ltc,56.8,4254341165,0.55537,74966864.4834713,2024-09-12T20:19:18.751Z
Bitcoin,btc,52583,1038657786324,0.59557,19753271.0,2024-09-12T20:19:14.611Z
Ethereum,eth,2126.19,255852967756,-0.07312,120330373.793716,2024-09-12T20:19:14.330Z
BNB,bnb,487.61,71136100345,0.68648,145887575.79,2024-09-12T20:19:15.267Z
Solana,sol,122.06,57102592549,1.17075,467930062.171106,2024-09-12T20:19:23.219Z
Dogecoin,doge,0.092202,13451090000,-0.25939,145906986383.705,2024-09-12T20:19:13.917Z
Cardano,ada,0.318914,11370725899,0.86892,35664388341.3215,2024-09-12T20:19:12.850Z
Avalanche,avax,21.46,8700336841,0.62965,405327885.931316,2024-09-12T20:19:12.537Z
Polkadot,dot,3.87,5457343704,1.88418,1411716475.67893,2024-09-12T20:19:16.584Z
Litecoin,ltc,56.8,4254341165,0.55537,74966864.4834713,2024-09-12T20:19:18.751Z
Bitcoin,btc,52583,1038657786324,0.59557,19753271.0,2024-09-12T20:19:14.611Z
Ethereum,eth,2126.19,255852967756,-0.07312,120330373.793716,2024-09-12T20:19:14.330Z
BNB,bnb,487.61,71136100345,0.68648,145887575.79,2024-09-12T20:19:15.267Z
Solana,sol,122.06,57102592549,1.17075,467930062.171106,2024-09-12T20:19:23.219Z
Dogecoin,doge,0.092202,13451090000,-0.25939,145906986383.705,2024-09-12T20:19:13.917Z
Cardano,ada,0.318914,11370725899,0.86892,35664388341.3215,2024-09-12T20:19:12.850Z
Avalanche,avax,21.46,8700336841,0.62965,405327885.931316,2024-09-12T20:19:12.537Z
Polkadot,dot,3.87,5457343704,1.88418,1411716475.67893,2024-09-12T20:19:16.584Z
Litecoin,ltc,56.8,4254341165,0.55537,74966864.4834713,2024-09-12T20:19:18.751Z
Bitcoin,btc,52552,1038147230191,0.61025,19753271.0,2024-09-12T20:33:33.409Z
Ethereum,eth,2125.4,255712016430,-0.07804,120330373.793716,2024-09-12T20:33:33.363Z
BNB,bnb,487.41,71083543201,0.9589,145887575.79,2024-09-12T20:33:42.177Z
Solana,sol,122.56,57297565258,1.73852,467930062.171106,2024-09-12T20:33:38.087Z
Dogecoin,doge,0.092183,13436751740,-0.25726,145906986383.705,2024-09-12T20:33:43.262Z
Cardano,ada,0.319357,11384278927,1.71981,35664388341.3215,2024-09-12T20:33:43.636Z
